Vivado Simulator v2020.2.2
Time resolution is 1 ps
Time =                    0 ns, State = 0, IR_OUT = x
Time =                 4000 ns, State = 0, IR_OUT = 0
Time =              1004000 ns, State = 1, IR_OUT = 0
Time =             13156000 ns, State = 1, IR_OUT = 1
Time =             26308000 ns, State = 1, IR_OUT = 0
Time =             39460000 ns, State = 1, IR_OUT = 1
Time =             52612000 ns, State = 1, IR_OUT = 0
Time =             65764000 ns, State = 1, IR_OUT = 1
Time =             78916000 ns, State = 1, IR_OUT = 0
Time =             92068000 ns, State = 1, IR_OUT = 1
Time =            105220000 ns, State = 1, IR_OUT = 0
Time =            118372000 ns, State = 1, IR_OUT = 1
Time =            131524000 ns, State = 1, IR_OUT = 0
Time =            144676000 ns, State = 1, IR_OUT = 1
Time =            157828000 ns, State = 1, IR_OUT = 0
Time =            170980000 ns, State = 1, IR_OUT = 1
Time =            184132000 ns, State = 1, IR_OUT = 0
Time =            197284000 ns, State = 1, IR_OUT = 1
Time =            210436000 ns, State = 1, IR_OUT = 0
Time =            223588000 ns, State = 1, IR_OUT = 1
Time =            236740000 ns, State = 1, IR_OUT = 0
Time =            249892000 ns, State = 1, IR_OUT = 1
Time =            263044000 ns, State = 1, IR_OUT = 0
Time =            276196000 ns, State = 1, IR_OUT = 1
Time =            289348000 ns, State = 1, IR_OUT = 0
Time =            302500000 ns, State = 1, IR_OUT = 1
Time =            315652000 ns, State = 1, IR_OUT = 0
Time =            328804000 ns, State = 1, IR_OUT = 1
Time =            341956000 ns, State = 1, IR_OUT = 0
Time =            355108000 ns, State = 1, IR_OUT = 1
Time =            368260000 ns, State = 1, IR_OUT = 0
Time =            381412000 ns, State = 1, IR_OUT = 1
Time =            394564000 ns, State = 1, IR_OUT = 0
Time =            407716000 ns, State = 1, IR_OUT = 1
Time =            420868000 ns, State = 1, IR_OUT = 0
Time =            434020000 ns, State = 1, IR_OUT = 1
Time =            447172000 ns, State = 1, IR_OUT = 0
Time =            460324000 ns, State = 1, IR_OUT = 1
Time =            473476000 ns, State = 1, IR_OUT = 0
Time =            486628000 ns, State = 1, IR_OUT = 1
Time =            499780000 ns, State = 1, IR_OUT = 0
Time =            512932000 ns, State = 1, IR_OUT = 1
Time =            526084000 ns, State = 1, IR_OUT = 0
Time =            539236000 ns, State = 1, IR_OUT = 1
Time =            552388000 ns, State = 1, IR_OUT = 0
Time =            565540000 ns, State = 1, IR_OUT = 1
Time =            578692000 ns, State = 1, IR_OUT = 0
Time =            591844000 ns, State = 1, IR_OUT = 1
Time =            604996000 ns, State = 1, IR_OUT = 0
Time =            618148000 ns, State = 1, IR_OUT = 1
Time =            631300000 ns, State = 1, IR_OUT = 0
Time =            644452000 ns, State = 1, IR_OUT = 1
Time =            657604000 ns, State = 1, IR_OUT = 0
Time =            670756000 ns, State = 1, IR_OUT = 1
Time =            683908000 ns, State = 1, IR_OUT = 0
Time =            697060000 ns, State = 1, IR_OUT = 1
Time =            710212000 ns, State = 1, IR_OUT = 0
Time =            723364000 ns, State = 1, IR_OUT = 1
Time =            736516000 ns, State = 1, IR_OUT = 0
Time =            749668000 ns, State = 1, IR_OUT = 1
Time =            762820000 ns, State = 1, IR_OUT = 0
Time =            775972000 ns, State = 1, IR_OUT = 1
