Vivado Simulator 2020.2
Time resolution is 1 ps
Time: 0 | ir_out1: x | ir_out2: x
Time: 4000 | ir_out1: 0 | ir_out2: 0
Time: 1012708000 | ir_out1: 1 | ir_out2: 1
Time: 1025860000 | ir_out1: 0 | ir_out2: 0
Time: 1039012000 | ir_out1: 1 | ir_out2: 1
Time: 1052164000 | ir_out1: 0 | ir_out2: 0
Time: 1065316000 | ir_out1: 1 | ir_out2: 1
Time: 1078468000 | ir_out1: 0 | ir_out2: 0
Time: 1091620000 | ir_out1: 1 | ir_out2: 1
Time: 1104772000 | ir_out1: 0 | ir_out2: 0
Time: 1117924000 | ir_out1: 1 | ir_out2: 1
Time: 1131076000 | ir_out1: 0 | ir_out2: 0
Time: 1144228000 | ir_out1: 1 | ir_out2: 1
Time: 1157380000 | ir_out1: 0 | ir_out2: 0
Time: 1170532000 | ir_out1: 1 | ir_out2: 1
Time: 1183684000 | ir_out1: 0 | ir_out2: 0
Time: 1196836000 | ir_out1: 1 | ir_out2: 1
Time: 1209988000 | ir_out1: 0 | ir_out2: 0
Time: 1223140000 | ir_out1: 1 | ir_out2: 1
Time: 1236292000 | ir_out1: 0 | ir_out2: 0
Time: 1249444000 | ir_out1: 1 | ir_out2: 1
Time: 1262596000 | ir_out1: 0 | ir_out2: 0
Time: 1275748000 | ir_out1: 1 | ir_out2: 1
Time: 1288900000 | ir_out1: 0 | ir_out2: 0
Time: 1302052000 | ir_out1: 1 | ir_out2: 1
Time: 1315204000 | ir_out1: 0 | ir_out2: 0
Time: 1328356000 | ir_out1: 1 | ir_out2: 1
Time: 1341508000 | ir_out1: 0 | ir_out2: 0
Time: 1354660000 | ir_out1: 1 | ir_out2: 1
Time: 1367812000 | ir_out1: 0 | ir_out2: 0
Time: 1380964000 | ir_out1: 1 | ir_out2: 1
Time: 1394116000 | ir_out1: 0 | ir_out2: 0
Time: 1407268000 | ir_out1: 1 | ir_out2: 1
Time: 1420420000 | ir_out1: 0 | ir_out2: 0
Time: 1433572000 | ir_out1: 1 | ir_out2: 1
Time: 1446724000 | ir_out1: 0 | ir_out2: 0
Time: 1459876000 | ir_out1: 1 | ir_out2: 1
Time: 1473028000 | ir_out1: 0 | ir_out2: 0
Time: 1486180000 | ir_out1: 1 | ir_out2: 1
Time: 1499332000 | ir_out1: 0 | ir_out2: 0
Time: 1512484000 | ir_out1: 1 | ir_out2: 1
Time: 1525636000 | ir_out1: 0 | ir_out2: 0
Time: 1538788000 | ir_out1: 1 | ir_out2: 1
Time: 1551940000 | ir_out1: 0 | ir_out2: 0
Time: 1565092000 | ir_out1: 1 | ir_out2: 1
Time: 1578244000 | ir_out1: 0 | ir_out2: 0
Time: 1591396000 | ir_out1: 1 | ir_out2: 1
Time: 1604548000 | ir_out1: 0 | ir_out2: 0
Time: 1617700000 | ir_out1: 1 | ir_out2: 1
Time: 1630852000 | ir_out1: 0 | ir_out2: 0
Time: 1644004000 | ir_out1: 1 | ir_out2: 1
Time: 1657156000 | ir_out1: 0 | ir_out2: 0
Time: 1670308000 | ir_out1: 1 | ir_out2: 1
Time: 1683460000 | ir_out1: 0 | ir_out2: 0
Time: 1696612000 | ir_out1: 1 | ir_out2: 1
Time: 1709764000 | ir_out1: 0 | ir_out2: 0
Time: 1722916000 | ir_out1: 1 | ir_out2: 1
Time: 1736068000 | ir_out1: 0 | ir_out2: 0
Time: 1749220000 | ir_out1: 1 | ir_out2: 1
Time: 1762372000 | ir_out1: 0 | ir_out2: 0
Time: 1775524000 | ir_out1: 1 | ir_out2: 1
Time: 1788676000 | ir_out1: 0 | ir_out2: 0
Time: 1801828000 | ir_out1: 1 | ir_out2: 1
Time: 1814980000 | ir_out1: 0 | ir_out2: 0
Time: 1828132000 | ir_out1: 1 | ir_out2: 1
Time: 1841284000 | ir_out1: 0 | ir_out2: 0
Time: 1854436000 | ir_out1: 1 | ir_out2: 1
Time: 1867588000 | ir_out1: 0 | ir_out2: 0
Time: 1880740000 | ir_out1: 1 | ir_out2: 1
Time: 1893892000 | ir_out1: 0 | ir_out2: 0
Time: 1907044000 | ir_out1: 1 | ir_out2: 1
Time: 1920196000 | ir_out1: 0 | ir_out2: 0
Time: 1933348000 | ir_out1: 1 | ir_out2: 1
Time: 1946500000 | ir_out1: 0 | ir_out2: 0
Time: 1959652000 | ir_out1: 1 | ir_out2: 1
Time: 1972804000 | ir_out1: 0 | ir_out2: 0
Time: 1985956000 | ir_out1: 1 | ir_out2: 1
Time: 1999108000 | ir_out1: 0 | ir_out2: 0
Time: 2012260000 | ir_out1: 1 | ir_out2: 1
Time: 2025412000 | ir_out1: 0 | ir_out2: 0
Time: 2038564000 | ir_out1: 1 | ir_out2: 1
Time: 2051716000 | ir_out1: 0 | ir_out2: 0
Time: 2064868000 | ir_out1: 1 | ir_out2: 1
Time: 2078020000 | ir_out1: 0 | ir_out2: 0
Time: 2091172000 | ir_out1: 1 | ir_out2: 1
Time: 2104324000 | ir_out1: 0 | ir_out2: 0
Time: 2117476000 | ir_out1: 1 | ir_out2: 1
Time: 2130628000 | ir_out1: 0 | ir_out2: 0
Time: 2143780000 | ir_out1: 1 | ir_out2: 1
Time: 2156932000 | ir_out1: 0 | ir_out2: 0
Time: 2170084000 | ir_out1: 1 | ir_out2: 1
Time: 2183236000 | ir_out1: 0 | ir_out2: 0
Time: 2196388000 | ir_out1: 1 | ir_out2: 1
Time: 2209540000 | ir_out1: 0 | ir_out2: 0
Time: 2222692000 | ir_out1: 1 | ir_out2: 1
Time: 2235844000 | ir_out1: 0 | ir_out2: 0
Time: 2248996000 | ir_out1: 1 | ir_out2: 1
Time: 2262148000 | ir_out1: 0 | ir_out2: 0
Time: 2275300000 | ir_out1: 1 | ir_out2: 1
Time: 2288452000 | ir_out1: 0 | ir_out2: 0
Time: 2301604000 | ir_out1: 1 | ir_out2: 1
Time: 2314756000 | ir_out1: 0 | ir_out2: 0
Time: 2327908000 | ir_out1: 1 | ir_out2: 1
Time: 2341060000 | ir_out1: 0 | ir_out2: 0
Time: 2354212000 | ir_out1: 1 | ir_out2: 1
Time: 2367364000 | ir_out1: 0 | ir_out2: 0
Time: 2380516000 | ir_out1: 1 | ir_out2: 1
Time: 2393668000 | ir_out1: 0 | ir_out2: 0
Time: 2406820000 | ir_out1: 1 | ir_out2: 1
Time: 2419972000 | ir_out1: 0 | ir_out2: 0
Time: 2433124000 | ir_out1: 1 | ir_out2: 1
Time: 2446276000 | ir_out1: 0 | ir_out2: 0
Time: 2459428000 | ir_out1: 1 | ir_out2: 1
Time: 2472580000 | ir_out1: 0 | ir_out2: 0
Time: 2485732000 | ir_out1: 1 | ir_out2: 1
Time: 2498884000 | ir_out1: 0 | ir_out2: 0
Time: 2512036000 | ir_out1: 1 | ir_out2: 1
Time: 2525188000 | ir_out1: 0 | ir_out2: 0
Time: 2538340000 | ir_out1: 1 | ir_out2: 1
Time: 2551492000 | ir_out1: 0 | ir_out2: 0
Time: 2564644000 | ir_out1: 1 | ir_out2: 1
Time: 2577796000 | ir_out1: 0 | ir_out2: 0
Time: 2590948000 | ir_out1: 1 | ir_out2: 1
Time: 2604100000 | ir_out1: 0 | ir_out2: 0
Time: 2617252000 | ir_out1: 1 | ir_out2: 1
Time: 2630404000 | ir_out1: 0 | ir_out2: 0
Time: 2643556000 | ir_out1: 1 | ir_out2: 1
Time: 2656708000 | ir_out1: 0 | ir_out2: 0
Time: 2669860000 | ir_out1: 1 | ir_out2: 1
Time: 2683012000 | ir_out1: 0 | ir_out2: 0
Time: 2696164000 | ir_out1: 1 | ir_out2: 1
Time: 2709316000 | ir_out1: 0 | ir_out2: 0
Time: 2722468000 | ir_out1: 1 | ir_out2: 1
Time: 2735620000 | ir_out1: 0 | ir_out2: 0
Time: 2748772000 | ir_out1: 1 | ir_out2: 1
